year,country,state,county_name,acre_planted,acre_planted_cv,acre_harvested,acres_loss,yield_lb_per_acres,total_yield,production_cwt
2020,UNITED STATES,ARKANSAS,PRAIRIE,62300,0.3,62100,200,8040,500892000,4990000
2020,UNITED STATES,ARKANSAS,SAINT FRANCIS,46500,0.3,46200,300,7320,340380000,3382000
2020,UNITED STATES,ARKANSAS,DREW,14800,0.3,14800,0,7730,114404000,1144000
2020,UNITED STATES,ARKANSAS,DESHA,43300,0.3,43000,300,7000,303100000,3011000
2020,UNITED STATES,ARKANSAS,LINCOLN,30100,0.3,30000,100,7610,229061000,2283000
2020,UNITED STATES,ARKANSAS,CHICOT,29800,0.3,29300,500,7620,227076000,2233000
2020,UNITED STATES,ARKANSAS,MONROE,46200,0.3,45900,300,7420,342804000,3406000
2020,UNITED STATES,ARKANSAS,PHILLIPS,36800,0.3,36300,500,7570,278576000,2748000
2020,UNITED STATES,ARKANSAS,WOODRUFF,58500,0.3,57900,600,7450,435825000,4314000
2021,UNITED STATES,ARKANSAS,SAINT FRANCIS,36700,0.6,36500,200,7270,266809000,2652000
2021,UNITED STATES,ARKANSAS,POINSETT,98800,0.3,98200,600,7580,748904000,7441000
2021,UNITED STATES,ARKANSAS,LINCOLN,18100,2.2,17200,900,7410,134121000,1274000
2021,UNITED STATES,ARKANSAS,WHITE,8400,1.2,6600,1800,8230,69132000,543000
2021,UNITED STATES,ARKANSAS,JACKSON,100500,0.4,96000,4500,7160,719580000,6877000
2021,UNITED STATES,ARKANSAS,DESHA,21500,1.7,19400,2100,6880,147920000,1334000
2021,UNITED STATES,ARKANSAS,JEFFERSON,50500,1.7,48500,2000,7510,379255000,3640000
2021,UNITED STATES,ARKANSAS,CLAY,69200,0.3,69000,200,8260,571592000,5696000
2021,UNITED STATES,ARKANSAS,ASHLEY,9100,3.1,8970,130,7870,71617000,706000
2021,UNITED STATES,ARKANSAS,CHICOT,18200,2,17900,300,7510,136682000,1344000
2021,UNITED STATES,ARKANSAS,WOODRUFF,55200,0.6,54900,300,7660,422832000,4205000
2021,UNITED STATES,ARKANSAS,OTHER COUNTIES,380900,0.3,378530,2370,7600,2894840000,28768000
2021,UNITED STATES,ARKANSAS,LEE,15100,1,15100,0,7640,115364000,1154000
2021,UNITED STATES,ARKANSAS,CROSS,67300,0.3,67200,100,7550,508115000,5071000
2021,UNITED STATES,ARKANSAS,LONOKE,70900,1.7,70600,300,7920,561528000,5588000
2021,UNITED STATES,ARKANSAS,CRITTENDEN,31200,0.5,30700,500,7620,237744000,2339000
2021,UNITED STATES,ARKANSAS,MONROE,33700,0.8,32700,1000,7390,249043000,2415000
2021,UNITED STATES,ARKANSAS,PRAIRIE,55400,0.8,55200,200,8100,448740000,4470000
2021,UNITED STATES,ARKANSAS,ARKANSAS,70300,0.4,69800,500,7950,558885000,5546000
2022,UNITED STATES,ARKANSAS,CLAY,62000,0.3,61500,500,7610,471820000,4678000
2022,UNITED STATES,ARKANSAS,OTHER COUNTIES,129200,0.3,124580,4620,7400,956080000,9220600
2022,UNITED STATES,ARKANSAS,DESHA,20600,1.2,20500,100,7600,156560000,1558000
2022,UNITED STATES,ARKANSAS,LONOKE,81400,0.2,80800,600,7500,610500000,6064000
2022,UNITED STATES,ARKANSAS,DREW,9400,2.5,9350,50,7410,69654000,693000
2022,UNITED STATES,ARKANSAS,GREENE,62600,0.3,62100,500,7270,455102000,4515000
2022,UNITED STATES,ARKANSAS,MONROE,35700,0.2,35500,200,7220,257754000,2563000
2022,UNITED STATES,ARKANSAS,LINCOLN,19700,1.2,19600,100,7720,152084000,1513000
2022,UNITED STATES,ARKANSAS,JEFFERSON,56200,2,55800,400,7340,412508000,4095000
2022,UNITED STATES,ARKANSAS,SAINT FRANCIS,32300,0.3,32100,200,7290,235467000,2340000
2022,UNITED STATES,ARKANSAS,ARKANSAS,66000,0.4,65800,200,7780,513480000,5119000
2022,UNITED STATES,ARKANSAS,PHILLIPS,19700,0.4,19600,100,7550,148735000,1480000
2022,UNITED STATES,ARKANSAS,LAWRENCE,67800,0.2,66200,1600,7320,496296000,4846000
2022,UNITED STATES,ARKANSAS,CHICOT,19300,1.4,19200,100,7580,146294000,1455000
2022,UNITED STATES,ARKANSAS,MISSISSIPPI,43500,0.2,43300,200,7850,341475000,3399000
2022,UNITED STATES,ARKANSAS,ASHLEY,4700,7,4670,30,7460,35062000,348400
2022,UNITED STATES,ARKANSAS,CROSS,54300,0.2,53900,400,7700,418110000,4148000
2022,UNITED STATES,ARKANSAS,POINSETT,84600,0.2,84100,500,6890,582894000,5794000
2022,UNITED STATES,ARKANSAS,CRITTENDEN,24500,0.2,24000,500,7510,183995000,1802000
2022,UNITED STATES,ARKANSAS,WOODRUFF,52900,0.2,52000,900,7530,398337000,3916000
2022,UNITED STATES,ARKANSAS,PRAIRIE,52400,0.2,51700,700,7560,396144000,3909000
2022,UNITED STATES,ARKANSAS,JACKSON,91600,0.2,82200,9400,7010,642116000,5762000
2022,UNITED STATES,ARKANSAS,LEE,15600,0.5,15500,100,7240,112944000,1122000
